degree	word	coefficient
1	X	1
1	Y	1
2	XY	1/2
2	YX	-1/2
3	XXY	1/12
3	XYX	-1/6
3	XYY	1/12
3	YXX	1/12
3	YXY	-1/6
3	YYX	1/12
4	XXYY	1/24
4	XYXY	-1/12
4	YXYX	1/12
4	YYXX	-1/24
5	XXXXY	-1/720
5	XXXYX	1/180
5	XXXYY	1/180
5	XXYXX	-1/120
5	XXYXY	-1/120
5	XXYYX	-1/120
5	XXYYY	1/180
5	XYXXX	1/180
5	XYXXY	-1/120
5	XYXYX	1/30
5	XYXYY	-1/120
5	XYYXX	-1/120
5	XYYXY	-1/120
5	XYYYX	1/180
5	XYYYY	-1/720
5	YXXXX	-1/720
5	YXXXY	1/180
5	YXXYX	-1/120
5	YXXYY	-1/120
5	YXYXX	-1/120
5	YXYXY	1/30
5	YXYYX	-1/120
5	YXYYY	1/180
5	YYXXX	1/180
5	YYXXY	-1/120
5	YYXYX	-1/120
5	YYXYY	-1/120
5	YYYXX	1/180
5	YYYXY	1/180
5	YYYYX	-1/720
6	XXXXYY	-1/1440
6	XXXYXY	1/360
6	XXXYYY	1/360
6	XXYXXY	-1/240
6	XXYXYY	-1/240
6	XXYYXY	-1/240
6	XXYYYY	-1/1440
6	XYXXXY	1/360
6	XYXXYY	-1/240
6	XYXYXY	1/60
6	XYXYYY	1/360
6	XYYXXY	-1/240
6	XYYXYY	-1/240
6	XYYYXY	1/360
6	YXXXYX	-1/360
6	YXXYXX	1/240
6	YXXYYX	1/240
6	YXYXXX	-1/360
6	YXYXYX	-1/60
6	YXYYXX	1/240
6	YXYYYX	-1/360
6	YYXXXX	1/1440
6	YYXXYX	1/240
6	YYXYXX	1/240
6	YYXYYX	1/240
6	YYYXXX	-1/360
6	YYYXYX	-1/360
6	YYYYXX	1/1440
7	XXXXXXY	1/30240
7	XXXXXYX	-1/5040
7	XXXXXYY	-1/5040
7	XXXXYXX	1/2016
7	XXXXYXY	1/2016
7	XXXXYYX	1/2016
7	XXXXYYY	1/3780
7	XXXYXXX	-1/1512
7	XXXYXXY	-1/5040
7	XXXYXYX	-1/630
7	XXXYXYY	-1/5040
7	XXXYYXX	-1/5040
7	XXXYYXY	-1/5040
7	XXXYYYX	-1/1512
7	XXXYYYY	1/3780
7	XXYXXXX	1/2016
7	XXYXXXY	-1/5040
7	XXYXXYX	1/840
7	XXYXXYY	-1/1120
7	XXYXYXX	1/840
7	XXYXYXY	1/840
7	XXYXYYX	1/840
7	XXYXYYY	-1/5040
7	XXYYXXX	-1/5040
7	XXYYXXY	-1/1120
7	XXYYXYX	1/840
7	XXYYXYY	-1/1120
7	XXYYYXX	-1/5040
7	XXYYYXY	-1/5040
7	XXYYYYX	1/2016
7	XXYYYYY	-1/5040
7	XYXXXXX	-1/5040
7	XYXXXXY	1/2016
7	XYXXXYX	-1/630
7	XYXXXYY	-1/5040
7	XYXXYXX	1/840
7	XYXXYXY	1/840
7	XYXXYYX	1/840
