degree,word,numerator,denominator
1,X,1,1
1,Y,1,1
2,XY,1,2
3,XXY,1,12
3,XYY,1,12
4,XXYY,1,24
5,XXXXY,-1,720
5,XXXYY,1,180
5,XXYXY,1,360
5,XXYYY,1,180
5,XYXYY,1,120
5,XYYYY,-1,720
6,XXXXYY,-1,1440
6,XXXYXY,1,720
6,XXXYYY,1,360
6,XXYXYY,1,240
6,XXYYYY,-1,1440
7,XXXXXXY,1,30240
7,XXXXXYY,-1,5040
7,XXXXYXY,1,10080
7,XXXXYYY,1,3780
7,XXXYXXY,1,10080
7,XXXYXYY,1,1680
7,XXXYYXY,1,1260
7,XXXYYYY,1,3780
7,XXYXXYY,1,2016
7,XXYXYXY,-1,5040
7,XXYXYYY,13,15120
7,XXYYXYY,1,10080
7,XXYYYXY,-1,1512
7,XXYYYYY,-1,5040
7,XYXYXYY,1,1260
7,XYXYYYY,-1,2016
7,XYYXYYY,-1,5040
7,XYYYYYY,1,30240
8,XXXXXXYY,1,60480
8,XXXXXYXY,-1,15120
8,XXXXXYYY,-1,10080
8,XXXXYXXY,1,20160
8,XXXXYXYY,-1,20160
8,XXXXYYXY,1,2520
8,XXXXYYYY,23,120960
8,XXXYXXYY,1,4032
8,XXXYXYXY,-1,10080
8,XXXYXYYY,13,30240
8,XXXYYXYY,1,20160
8,XXXYYYXY,-1,3024
8,XXXYYYYY,-1,10080
8,XXYXYXYY,1,2520
8,XXYXYYYY,-1,4032
8,XXYYXYYY,-1,10080
8,XXYYYYYY,1,60480
9,XXXXXXXXY,-1,1209600
9,XXXXXXXYY,1,151200
9,XXXXXXYXY,-1,100800
9,XXXXXXYYY,-1,56700
9,XXXXXYXYY,-1,43200
9,XXXXXYYXY,1,75600
9,XXXXXYYYY,1,75600
9,XXXXYXXXY,1,302400
9,XXXXYXXYY,1,67200
9,XXXXYXYXY,1,43200
9,XXXXYXYYY,11,302400
9,XXXXYYXXY,1,25200
9,XXXXYYXYY,11,201600
9,XXXXYYYXY,11,151200
9,XXXXYYYYY,1,75600
9,XXXYXXXYY,1,43200
9,XXXYXXYXY,1,37800
9,XXXYXXYYY,23,302400
9,XXXYXYXXY,-1,30240
9,XXXYXYXYY,1,100800
9,XXXYXYYXY,1,33600
9,XXXYXYYYY,1,20160
9,XXXYYXXYY,1,67200
9,XXXYYXYXY,-17,100800
9,XXXYYXYYY,1,30240
9,XXXYYYXXY,-1,21600
9,XXXYYYXYY,-1,15120
9,XXXYYYYXY,-1,7560
9,XXXYYYYYY,-1,56700
9,XXYXXYXYY,1,25200
9,XXYXXYYXY,-1,8400
9,XXYXXYYYY,-1,17280
9,XXYXYXXYY,-1,25200
9,XXYXYXYXY,1,50400
9,XXYXYXYYY,1,6048
9,XXYXYYXYY,-1,20160
9,XXYXYYYXY,-1,10080
9,XXYXYYYYY,-23,302400
9,XXYYXXYYY,1,60480
9,XXYYXYXYY,1,20160
9,XXYYXYYXY,1,20160
9,XXYYXYYYY,-11,120960
9,XXYYYXYXY,1,10080
9,XXYYYXYYY,1,90720
9,XXYYYYXYY,1,60480
